EAN;TS_1_Mois;TS_2_Mois;TS_3_Mois;TS_Final;TS_1_Semaine;TS_Final_V2
3023470020030;100%;100%;70%;100%;100%;100%
3023470200050;100%;100%;100%;100%;;100%
3024720020121;;100%;100%;100%;;100%
3024720020176;;100%;100%;100%;;100%
3024720020329;;100%;82%;100%;;100%
3024720022002;0%;88%;92%;0%;;0%
3024720022019;100%;100%;100%;100%;;100%
3024720022422;100%;100%;100%;100%;100%;100%
3024720022439;100%;100%;100%;100%;;100%
3024720022484;;100%;100%;100%;;100%
3024720026208;;100%;100%;100%;;100%
3024720026543;;77%;87%;77%;;77%
3024720026895;100%;100%;100%;100%;100%;100%
3024720027724;;100%;50%;100%;;100%
3024720027748;;100%;100%;100%;;100%
3027030006939;;;100%;100%;;100%
3027030011810;82%;84%;88%;82%;100%;100%
3027030012541;100%;100%;100%;100%;;100%
3027030012992;;100%;100%;100%;;100%
3027030013289;100%;100%;100%;100%;100%;100%
3027030015160;100%;100%;100%;100%;100%;100%
3027030015191;100%;75%;65%;100%;100%;100%
3027030016396;100%;100%;100%;100%;100%;100%
3027030016464;50%;72%;82%;50%;100%;100%
3027030018444;100%;100%;100%;100%;;100%
3027030020010;;;100%;100%;;100%
3027030028504;;;100%;100%;;100%
3027030029839;100%;100%;100%;100%;;100%
3027030032761;100%;100%;100%;100%;100%;100%
3027030032853;;;100%;100%;;100%
3029330001652;;;100%;100%;;100%
3029330002765;;;100%;100%;;100%
3029330003526;;;100%;100%;;100%
3029330003533;;;100%;100%;;100%
3029330003847;97%;98%;99%;97%;100%;100%
3029330004240;100%;92%;92%;100%;100%;100%
3029330011040;;;100%;100%;;100%
3029330022411;95%;97%;98%;95%;100%;100%
