EAN Final;Libellé;Code Méti;VMJ;Classement;Ligne;Contrôle
8,7112E+12;415G FL MAYONNAISE AMORA;4785083;61,99569055;420;3554;1
3,56007E+12;80G PARMIGIANO REGG CPX CRF;7397483;61,9182462;421;8089;1
3,49791E+12;125G CHIPS POULET BRAIS BRET'S;1956333;61,89649121;422;1154;1
3,27019E+12;100G CHOC NOIR 74  CRF BIO;1102197;61,52563597;423;886;1
3,56007E+12;250G MASCARPONE CRF CLASSIC;3273251;61,45119793;424;1886;1
4,00843E+12;10L HYGIENE PLUS CATSAN;136011;61,4085088;425;293;1
3,27019E+12;800G TOMATE ENTIERE PELEE CRF;1623277;61,40826116;426;1065;1
3,56007E+12;90G CROUTONS  AIL CRF CLASSIC;7315668;61,25171987;427;7961;1
3,56007E+12;500G ST RIZ ARBORIO CRF EXT;3937027;61,24630687;428;2548;1
3,16893E+12;ALVALLE GAZPACHO ORI 1L C;7085312;61,20404726;429;7274;1
3,03349E+12;4X125G VANI DANETTE;6692326;61,16001734;430;6342;1
59032823;630G NUTELLA;4835610;60,81978087;431;3610;1
3,60858E+12;320G CONF FRAISE BONNE MAMAN;5750609;60,73761599;432;4759;1
3,02329E+12;6X60G NESQUIK CHOC;6167992;60,72580337;433;5478;1
3,17657E+12;6X20 CANDYUP CHOC;32814;60,59346773;434;136;1
3,03835E+12;390G SCE TOMAPIZZA PANZANI;4113055;60,52805924;435;2714;1
8,41008E+12;350G WRAP NATURE OLD EL PASO;5798215;60,45917263;436;4807;1
3,24541E+12;200G TORTI CHIPS NAT CRF SENS;2612979;60,42296125;437;1487;1
3,24541E+12;12X125G BIFIDUS ARO VANI CRF C;2614064;60,41172628;438;1490;1
3,10802E+12;PET 1 15 L VICHY CELESTINS;7432243;60,39419355;439;8242;1
3,56007E+12;320G BLC PLT FOUR 8T CRF EXTRA;5042575;60,201018;440;3863;1
3,27019E+12;500G CAROTTE RAPEE CRF CLASSIC;1103802;59,91880614;441;899;1
3,56007E+12;300G TORTEL  RICOT EPIN CRF OR;4902691;59,88716896;442;3748;1
3,56007E+12;350G X10 KNACK PORC CRF CLA;6676087;59,86037943;443;6289;1
3,59974E+12;900G EPINARDS HACHES A LA CREM;7429975;59,58570231;444;8221;1
3,01776E+12;300G PEPITO CHOCO PEPITES X10;1740394;59,52494835;445;1080;1
3,25238E+12;BV 500G SEL FIN IODE CEREBOS;549341;59,46809708;446;473;1
3,27019E+12;1KG OIGNON EMINCE CRF CLASSIC;1093461;59,44137258;447;851;1
3,56007E+12;BOITE CUBIQUE 48 MOUCH 3P CRF;6551814;59,40509565;448;6083;1
3,56007E+12;BRK 1L PJ ORANGE S/P CRF BIO;5006759;59,38475239;449;3830;1
3,56007E+12;12X50G FRO BLC FRUITS CRF CLA;5250066;59,31042373;450;4099;1
3,15423E+12;BPARIS JAMBON A L'ETOUFFEE 8T;7536910;59,15149754;451;8643;1
3,56007E+12;20X90G GRDE PANACHE SSA CRF;5615438;59,13304101;452;4560;1
3,42827E+12;25CL LAIT DEMI ECREME LACTEL;830300;59,02486421;453;616;1
3,56007E+12;6X30G CHIPS LISSE NAT CRF CLAS;6940332;59,01776831;454;6874;1
3,56007E+12;500G FUSILLI COMPLET QS CRF EX;5507192;58,96361683;455;4362;1
3,56007E+12;200G CACAH GRIL S SEL CRF CLAS;7073678;58,9001828;456;7237;1
3,56007E+12;BRK 6X20CL JUS POM ABC CRF CLA;4014600;58,83938932;457;2622;1
8,72018E+12;430G MOUTARDE FORTE BOC AMORA;7568205;58,81856238;458;8766;1
3,56007E+12;50CL SAUCE BECHAMEL CRF CLASSI;4257694;58,67977133;459;2840;1
3,56007E+12;72CL POIS XF CAROT ETUV CRF CL;4322802;58,62365559;460;2886;1
3,06811E+12;1KG FARINE BLE FRANCINE;21663;58,43083795;461;49;1
3,27019E+12;4X125G CREM DESS CHOCO CRF CLA;843365;58,31957768;462;630;1
3,27019E+12;540G BROCOLI CRF BIO;1186121;58,2773119;463;948;1
3,24541E+12;150G CHIP RECET ANCIE CRF ORIG;3695593;58,21190217;464;2242;1
3,15423E+12;200G DES DE LARDON HERTA;7315437;58,21068323;465;7955;1
3,04692E+12;100G EXCELLENCE NOIR 85  LINDT;5904631;58,10973854;466;4969;1
3,56007E+12;500G LENTILLES VERTES CRF CLAS;7409192;58,06636023;467;8132;1
3,16893E+12;85G LAY'S 3D'S BUGLES NATURE;1929870;58,01049763;468;1146;1
3,56007E+12;200G MEL  FROMAGE RAPE CRF CLA;4188751;57,92879624;469;2802;1
3,24883E+12;230G PAT FEUIL P BEURRE MARIE;6718206;57,77056247;470;6449;1
3,56007E+12;3X1/10 TH ALB PREC NAT CRF EXT;4899809;57,71035833;471;3739;1
3,02703E+12;ANCEL TUBO 100 ANS 300G;6660722;57,37542172;472;6268;1
3,27277E+12;150G FETA AOP ISLOS;7220725;57,29153859;473;7634;1
3,24541E+12;1KG FROMAGE BLANC 0  SIMPL;3689572;57,28564088;474;2235;1
3,76006E+12;POT 125G BURRATA VACHE C AZZAR;6473696;57,21860551;475;5949;1
3,15423E+12;230G TARTOR PATE BRISEE HERTA;7325489;57,17590422;476;7980;1
3,27019E+12;720ML RATATOUILLE BIO CRF;1099330;57,17464889;477;870;1
3,27019E+12;350G PAIN LAIT MIX X10 CRF CLA;1080651;57,12213813;478;821;1
8,0768E+12;PQ 500G PIPE RIGATE BARILLA;142778;56,83871833;479;300;1
